id,name,round,homeTeam,awayTeam,time,venue,clash
597010,9 Black 2022,2,Donvale/ Knox,Glen Waverley Rovers,9:00,Donvale Reserve,
597017,9 Red 2022,2,East Burwood ,Boronia ,9:00,East Burwood Reserve,
597002,10 Red 2022,2,Rowville,Ferntree Gully Eagles,9:00,Eildon Park,
597015,10 White 2022,2,East Ringwood White,Lilydale ,9:00,Glen Park,
597003,10 Black 2022,2,Heathmont Blue,Norwood Black,9:00,Heatherdale Reserve,
597020,10 Blue 2022,2,Heathmont Gold,Vermont Gold,9:00,Heatherdale Reserve,
597015,10 White 2022,2,Chirnside Park,Waverley Blues,9:00,Kimberley Reserve,
597010,9 Black 2022,2,Lysterfield Teal,The Basin Green,9:00,Lakesfield Reserve,
597011,8 South 2022,2,Fairpark/Rowville Knights,Knox,9:00,Lewis Park,
597011,8 South 2022,2,Vermont,The Basin,9:00,Lewis Park,
597002,10 Red 2022,2,Rowville Knights,Fairpark,9:00,Liberty Reserve,
597010,9 Black 2022,2,Vermont ,North Ringwood Red,9:00,Livingstone Primary School,
597002,10 Red 2022,2,Boronia,Knox,9:00,Miller Park,
597003,10 Black 2022,2,Montrose Blue,Lysterfield Teal,9:00,Montrose Recreation Reserve,
597020,10 Blue 2022,2,Montrose Red,Lysterfield Grey,9:00,Montrose Recreation Reserve,
597003,10 Black 2022,2,Blackburn Black,Mitcham,9:00,Morton Park,
597020,10 Blue 2022,2,Blackburn Red,North Ringwood Black,9:00,Morton Park,
597000,9 White 2022,2,Norwood,Montrose,9:00,Mullum Mullum Reserve,
597017,9 Red 2022,2,South Belgrave,Bayswater,9:00,Narre Warren East Reserve,
597000,9 White 2022,2,Kilsyth,Ringwood,9:00,Pinks Reserve,
597003,10 Black 2022,2,North Ringwood Red,Vermont Purple,9:00,Quambee Reserve,
597016,8 North 2022,2,North Ringwood Black,North Ringwood Red,9:00,Quambee Reserve,
597000,9 White 2022,2,North Ringwood Black,Chirnside Park,9:00,Ringwood North Reserve,
597002,10 Red 2022,2,Noble Park,Endeavour Hills ,9:00,Ross Reserve,
597003,10 Black 2022,2,Wantirna South ,The Basin,9:00,Templeton Reserve,
597000,9 White 2022,2,Lilydale,Heathmont,9:00,The Gateway Reserve,
597010,9 Black 2022,2,Mitcham,East Ringwood,9:00,Walker Park,
597017,9 Red 2022,2,Ferntree Gully Eagles,Rowville ,9:00,Wally Tew Reserve,
597011,8 South 2022,2,Ferntree Gully Eagles,Wantirna South White,10:00,Lewis Park,
597011,8 South 2022,2,Ferntree Gully/ Endeavour Hills,Lysterfield,10:00,Lewis Park,
597016,8 North 2022,2,South Croydon,Heathmont,10:00,Quambee Reserve,
596965,12A Girls 2022,2,East Ringwood,North Ringwood,10:05,Ainslie Park,
597000,9 White 2022,2,Croydon,South Croydon,10:05,Barngeong Reserve,
597008,11A 2022,2,The Basin Green,Blackburn Black,10:05,Batterham Reserve,
597018,10 Girls 2022,2,The Basin,Vermont,10:05,Batterham Reserve,
596990,12B Girls 2022,2,Bayswater,The Basin White,10:05,Bayswater Junior Oval,
597018,10 Girls 2022,2,South Croydon,North Ringwood,10:05,Benson Oval,
